Date,USDZAR
04/05/2016,14.64
05/05/2016,14.95
06/05/2016,14.95
09/05/2016,14.82
10/05/2016,15.14
11/05/2016,15.09
12/05/2016,15.01
13/05/2016,15.04
16/05/2016,15.46
17/05/2016,15.64
18/05/2016,15.61
19/05/2016,15.86
20/05/2016,15.79
23/05/2016,15.62
24/05/2016,15.72
25/05/2016,15.65
26/05/2016,15.65
27/05/2016,15.52
30/05/2016,15.70
31/05/2016,15.80
01/06/2016,15.71
02/06/2016,15.58
03/06/2016,15.56
06/06/2016,15.11
07/06/2016,14.89
08/06/2016,14.92
09/06/2016,14.73
10/06/2016,14.81
13/06/2016,15.23
14/06/2016,15.12
15/06/2016,15.33
16/06/2016,15.17
17/06/2016,15.32
20/06/2016,15.04
21/06/2016,14.82
22/06/2016,14.75
23/06/2016,14.57
24/06/2016,14.55
27/06/2016,15.20
28/06/2016,15.39
29/06/2016,15.14
30/06/2016,14.77
01/07/2016,14.74
04/07/2016,14.59
05/07/2016,14.57
06/07/2016,14.76
07/07/2016,14.72
08/07/2016,14.77
11/07/2016,14.55
12/07/2016,14.45
13/07/2016,14.34
14/07/2016,14.48
15/07/2016,14.26
18/07/2016,14.40
19/07/2016,14.24
20/07/2016,14.33
21/07/2016,14.29
22/07/2016,14.22
25/07/2016,14.29
26/07/2016,14.36
27/07/2016,14.33
28/07/2016,14.21
29/07/2016,14.13
01/08/2016,13.89
02/08/2016,13.92
03/08/2016,14.01
04/08/2016,13.91
05/08/2016,13.69
08/08/2016,13.75
09/08/2016,13.59
10/08/2016,13.43
11/08/2016,13.24
12/08/2016,13.39
15/08/2016,13.45
16/08/2016,13.29
17/08/2016,13.41
18/08/2016,13.36
19/08/2016,13.35
22/08/2016,13.48
23/08/2016,13.56
24/08/2016,13.89
25/08/2016,14.16
26/08/2016,14.19
29/08/2016,14.29
30/08/2016,14.40
31/08/2016,14.47
01/09/2016,14.68
02/09/2016,14.58
05/09/2016,14.48
06/09/2016,14.38
07/09/2016,13.99
08/09/2016,14.00
09/09/2016,14.12
12/09/2016,14.38
13/09/2016,14.24
14/09/2016,14.43
15/09/2016,14.31
16/09/2016,14.19
19/09/2016,14.20
20/09/2016,14.00
21/09/2016,13.89
22/09/2016,13.58
23/09/2016,13.61
26/09/2016,13.75
27/09/2016,13.70
28/09/2016,13.44
29/09/2016,13.62
30/09/2016,13.92
03/10/2016,13.74
04/10/2016,13.60
05/10/2016,13.82
06/10/2016,13.72
07/10/2016,13.88
10/10/2016,13.78
11/10/2016,13.78
12/10/2016,14.33
13/10/2016,14.23
14/10/2016,14.25
17/10/2016,14.30
18/10/2016,14.13
19/10/2016,13.87
20/10/2016,13.82
21/10/2016,13.93
24/10/2016,13.93
25/10/2016,13.91
26/10/2016,13.75
27/10/2016,13.87
28/10/2016,13.84
31/10/2016,13.78
01/11/2016,13.46
02/11/2016,13.61
03/11/2016,13.44
04/11/2016,13.43
07/11/2016,13.53
08/11/2016,13.38
09/11/2016,13.23
10/11/2016,13.48
11/11/2016,14.07
14/11/2016,14.24
15/11/2016,14.40
16/11/2016,14.16
17/11/2016,14.28
18/11/2016,14.42
21/11/2016,14.42
22/11/2016,14.21
23/11/2016,14.06
24/11/2016,14.13
